hoja, 1
suma, 2
resta, 3
multiplicacion, 4
division, 5
variable, 6 
sentencias, 7
and, 8
or, 9
not, 10
while, 11
if-else, 12
imprimir, 13
asignacion, 14
igual_que, 15
distinto_que, 16
menor_que, 17
menor_igual_que, 18
mayor_que,19
mayor_igual_que, 20
comentario, 21
